,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,XLM-USD,21.637655811880254,23.0
1,XTZ-USD,LINK-USD,0.1307854036995841,22.0
2,XTZ-USD,SUSHI-USD,1.1923514213168358,5.0
3,XTZ-USD,1INCH-USD,2.528464766926209,5.0
4,ETC-USD,ZEC-USD,0.6123123488980967,9.0
5,ETC-USD,EOS-USD,26.071107905126482,16.0
6,LINK-USD,ENJ-USD,20.62172503114113,11.0
7,LINK-USD,RUNE-USD,6.105752467094745,7.0
8,LINK-USD,ZRX-USD,29.534217279551257,8.0
9,LINK-USD,DOT-USD,1.1981619797380145,10.0
10,ATOM-USD,DOT-USD,1.828064230427922,15.0
11,ENJ-USD,FIL-USD,0.07175768848935384,24.0
12,ENJ-USD,CRV-USD,0.4097157837314698,23.0
13,RUNE-USD,DOT-USD,0.19621802851239767,9.0
14,FIL-USD,YFI-USD,0.0006298169878629317,17.0
15,ZRX-USD,DOT-USD,0.040547755256478475,11.0
16,ZRX-USD,UNI-USD,0.03997051182318488,17.0
17,EOS-USD,DOT-USD,0.14108465998189756,6.0
18,EOS-USD,ETH-USD,0.00038139064830053197,12.0
19,SUSHI-USD,1INCH-USD,2.120314124994686,5.0
20,ADA-USD,DOGE-USD,4.325057656098642,6.0
21,UMA-USD,1INCH-USD,5.0741914264061085,7.0
22,BTC-USD,DOGE-USD,458262.2635186092,16.0
23,BTC-USD,1INCH-USD,95753.82089947951,15.0
24,BTC-USD,AVAX-USD,2348.0587326247305,13.0
25,BTC-USD,ETH-USD,16.05808873809168,24.0
26,DOGE-USD,MATIC-USD,0.09963138987259487,8.0
27,DOGE-USD,1INCH-USD,0.2089051347018202,13.0
28,DOGE-USD,ETH-USD,3.5032138792623105e-05,7.0
